id,photo_url,thumb_url
84,https://pe.tedcdn.com/images/ted/1468_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1996_480x360.jpg?quality=89&w=600
85,https://pe.tedcdn.com/images/ted/1358_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/aa8103bec20c29929be19087fec1b22943a10e75_2880x1620.jpg?quality=89&w=600
86,https://pe.tedcdn.com/images/ted/348fd730524d9f353f310881f31b6adb69157184_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/22f7a290-c4a1-42a1-9c91-514aecdeeb52/JuliaSweeney_2006-embed.jpg?quality=89&w=600
87,https://pe.tedcdn.com/images/ted/3097a66d82f8a284f43f835770f610e8c730c16c_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f640064c612bf2b53369e0c7b81554a904ed5a93_2880x1620.jpg?quality=89&w=600
89,https://pe.tedcdn.com/images/ted/ccee2996dc81f05916a7e18207c8321d1d5a479d_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/172_480x360.jpg?quality=89&w=600
90,https://pe.tedcdn.com/images/ted/05383a3cc6e156a8572785a7aa21468bc8023efc_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/c634a6fe7b4b9f15c59f75f0c06a09058081c95a_1600x1200.jpg?quality=89&w=600
91,https://pe.tedcdn.com/images/ted/1614_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/154_480x360.jpg?quality=89&w=600
92,https://pe.tedcdn.com/images/ted/2bd4d0cfff0c3a3306650768c2f988e154db7042_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/91206e56-87be-4387-830b-c38f37d02d78/HansRosling_2006-embed.jpg?quality=89&w=600
93,https://pe.tedcdn.com/images/ted/ac3627e883faae0e4781eef6c0ead1fac1a9cb03_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/3b8c98a8-018c-44ed-ab82-821e6789b31b/BarrySchwartz_2005G-embed.jpg?quality=89&w=600
94,https://pe.tedcdn.com/images/ted/185dfcae13ba50e25923e1d2b6eadd199a122241_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/34f69240-8dd8-43ce-9554-0e686de37e4f/DanDennett_2006-embed.jpg?quality=89&w=600
96,https://pe.tedcdn.com/images/ted/d49ff1134376281d41da6846c495eb3c139f8ccd_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/fe29046c9fa0f366a11c507d9daeabd8ed6cb4bd_2880x1620.jpg?quality=89&w=600
97,https://pe.tedcdn.com/images/ted/1990_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/016a827cc0757092a0439ab2a63feca8655b6c29_1600x1200.jpg?quality=89&w=600
98,https://pe.tedcdn.com/images/ted/1477_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/160_480x360.jpg?quality=89&w=600
99,https://pe.tedcdn.com/images/ted/1470_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/217_480x360.jpg?quality=89&w=600
101,https://pe.tedcdn.com/images/ted/38_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/2076_480x360.jpg?quality=89&w=600
102,https://pe.tedcdn.com/images/ted/185dfcae13ba50e25923e1d2b6eadd199a122241_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/55f8352def783a2b3a7f0b8b135a82ac5ae0b2de_1600x1200.jpg?quality=89&w=600
103,https://pe.tedcdn.com/images/ted/2101_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1d7e013f1870ec08fce3c48348881a9eac074ab6_1600x1200.jpg?quality=89&w=600
104,https://pe.tedcdn.com/images/ted/91_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ee6ed290a61b9a7816abb51c855725d35fc9d035_1600x1200.jpg?quality=89&w=600
105,https://pe.tedcdn.com/images/ted/3411_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/505_480x360.jpg?quality=89&w=600
108,https://pe.tedcdn.com/images/ted/ae0c178f2ef16b45c2791e5608ef84fd0f3d5850_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1292_480x360.jpg?quality=89&w=600
