id,est_gender,est_age
1579,male,47
1580,male,37
1581,male,34
1582,male,32
1583,female,42
1584,female,44
1585,male,45
1586,male,45
1587,male,30
1588,male,61
1591,male,38
1592,female,29
1593,male,38
1594,female,33
1595,male,41
1596,male,29
1597,male,32
1598,female,42
1599,male,43
1600,female,28
1601,female,43
1602,male,37
1603,female,29
1604,male,61
1605,female,37
1606,male,36
1607,male,31
1608,male,29
1609,female,47
1610,male,42
1611,male,26
1612,male,32
1613,female,46
1614,male,45
1616,male,26
1617,male,55
1618,female,42
1620,male,40
1621,female,37
1622,male,43
1623,male,40
1624,male,36
1625,male,33
1626,female,30
1627,female,48
1628,male,56
1629,male,44
1630,male,36
1631,male,36
1632,female,47
1633,female,31
1634,male,41
1636,male,32
1637,female,34
1638,male,41
1639,male,52
1640,male,34
1641,male,51
1642,male,47
1643,female,43
1644,male,32
1645,female,28
1646,female,33
1647,female,31
1648,male,48
1649,male,58
1650,male,30
1651,female,41
1652,male,54
1653,male,30
1654,female,46
1655,male,26
1656,male,44
1657,male,58
1658,male,19
1659,female,32
1660,male,33
1661,male,36
1662,female,6
1663,male,34
1664,male,46
1665,male,48
1666,female,33
1667,male,55
1668,male,39
1669,female,40
1670,male,33
1671,male,47
1672,female,35
1673,male,53
1674,male,44
1675,male,37
1677,male,45
1678,male,50
1679,female,42
1682,female,30
1683,male,67
1684,female,30
1685,male,36
1687,male,39
1688,male,48
1689,male,50
1690,male,66
1691,male,45
1692,female,29
1693,male,56
1694,female,24
1695,male,37
1696,male,60
1697,male,33
1698,female,41
1699,female,15
1700,male,49
1701,male,53
1702,male,50
1703,male,41
1704,male,22
1705,female,40
1706,male,46
1707,male,32
1708,male,35
1709,male,31
1710,male,43
1711,male,42
1712,female,32
1713,female,38
1714,male,55
1715,male,38
1716,male,19
1717,male,52
1718,male,39
1719,male,69
1720,male,49
1721,male,37
1723,male,39
1724,female,36
1725,male,41
1726,female,38
1727,male,19
1728,female,45
1729,male,51
1730,male,59
1731,male,34
